LogText,Label
API responded with 409 Conflict [ID:1561],api_error
Gateway unreachable [ID:3430],network_error
Timeout accessing resource [ID:5098],service_timeout
Password attempt failed [ID:2335],authentication_failure
API responded with 409 Conflict [ID:2839],api_error
Directory /tmp/cache not accessible [ID:9103],filesystem_error
File not found: /etc/config.json [ID:2946],filesystem_error
Token validated successfully [ID:9826],authentication_success
Token invalid: signature mismatch [ID:3958],authentication_failure
POST /webhook processed [ID:7830],api_request
Disk quota exceeded for user 'app' [ID:7723],resource_exhaustion
Cache eviction storm detected [ID:1661],resource_exhaustion
Symbolic link loop detected [ID:7158],filesystem_error
Packet loss exceeded 5% [ID:6808],network_error
Password attempt failed [ID:1779],authentication_failure
Request stalled in queue [ID:1156],service_timeout
Login succeeded [ID:1064],authentication_success
Authentication failed: invalid password [ID:7941],authentication_failure
Permission denied: /var/log/syslog [ID:7531],filesystem_error
Certificate validation fail for site example.com [ID:8914],security_alert
Unable to write to log file [ID:2911],filesystem_error
Health probe timed out [ID:3396],service_timeout
API responded with 409 Conflict [ID:9049],api_error
Database unreachable: timeout [ID:7099],database_error
Token invalid: signature mismatch [ID:2508],authentication_failure
Session established for user 'root' [ID:6140],authentication_success
Relation 'users' does not exist [ID:8079],database_error
API timeout while waiting for upstream [ID:6889],api_error
YAML syntax error at line 10 [ID:9279],configuration_error
PUT /api/items failed [ID:5838],api_error
Connection refused by host [ID:4711],network_error
Successfully authenticated user 'service_account' [ID:7837],authentication_success
Blocked by firewall: inbound connection from blacklisted IP [ID:5054],security_alert
Missing environment variable 'API_KEY' [ID:1324],configuration_error
Gateway unreachable [ID:8619],network_error
PUT /api/user/123 received [ID:3550],api_request
Authentication failed: invalid password [ID:3776],authentication_failure
User 'guest' blocked after failed login attempts [ID:7326],authentication_failure
No space left on device [ID:6757],filesystem_error
TLS handshake error [ID:4452],network_error
Thread pool exhausted [ID:7706],resource_exhaustion
API error: internal server error [ID:5124],api_error
Out of memory: Kill process 1234 (java) [ID:3190],resource_exhaustion
Invalid XML structure [ID:8722],configuration_error
Invalid credential provided for user 'jdoe' [ID:5224],authentication_failure
File not found: /etc/config.json [ID:7966],filesystem_error
YAML syntax error at line 10 [ID:2513],configuration_error
No space left on device [ID:3847],filesystem_error
Packet loss exceeded 5% [ID:5502],network_error
Malware detected in file upload [ID:9576],security_alert
Kerberos authentication failed [ID:2808],authentication_failure
Authentication failed: invalid password [ID:4702],authentication_failure
Authentication succeeded [ID:2196],authentication_success
Permission denied: /var/log/syslog [ID:8961],filesystem_error
Duplicate key value violates unique constraint [ID:3046],database_error
DELETE /api/item/55 processed [ID:1192],api_request
Authentication succeeded [ID:1355],authentication_success
Route unavailable to 10.0.0.0/24 [ID:7182],network_error
File corruption detected [ID:2547],filesystem_error
DNS resolution failed for host 'db-primary' [ID:1873],network_error
Authentication failed: invalid password [ID:7994],authentication_failure
Multiple failed login attempts from single IP [ID:3337],security_alert
Timeout contacting auth service [ID:8999],service_timeout
Database unreachable: timeout [ID:2356],database_error
Packet loss exceeded 5% [ID:5160],network_error
TLS handshake error [ID:4373],network_error
User 'guest' blocked after failed login attempts [ID:6704],authentication_failure
Invalid configuration value for 'timeout' [ID:8680],configuration_error
Database unreachable: timeout [ID:6553],database_error
POST /webhook processed [ID:8266],api_request
Unsupported configuration version [ID:2708],configuration_error
GET /api/v1/users returned error 500 [ID:6276],api_error
DNS resolution failed for host 'db-primary' [ID:7725],network_error
DELETE /api/item/55 processed [ID:9745],api_request
Accepted password for user 'jdoe' [ID:2079],authentication_success
No space left on device [ID:3112],filesystem_error
File corruption detected [ID:4236],filesystem_error
Multiple failed login attempts from single IP [ID:1275],security_alert
Database unreachable: timeout [ID:1567],database_error
MongoDB connection refused [ID:8862],database_error
API responded with 409 Conflict [ID:9987],api_error
OOM-killed process apache2 [ID:9140],resource_exhaustion
DNS resolution failed for host 'db-primary' [ID:9246],network_error
Multiple failed login attempts from single IP [ID:8709],security_alert
Disk quota exceeded for user 'app' [ID:6312],resource_exhaustion
Timeout contacting auth service [ID:3571],service_timeout
Login succeeded from 10.0.0.5 [ID:3639],authentication_success
OPTIONS /api/cors check executed [ID:3105],api_request
Health probe timed out [ID:1181],service_timeout
GET /api/v1/users returned error 500 [ID:8115],api_error
Service timeout: upstream did not respond [ID:9268],service_timeout
Session established for user 'root' [ID:4163],authentication_success
YAML syntax error at line 10 [ID:5652],configuration_error
Missing environment variable 'API_KEY' [ID:5785],configuration_error
Timeout accessing resource [ID:9914],service_timeout
High network latency detected [ID:4419],network_error
API responded with 503 Service Unavailable [ID:8914],api_error
Cache eviction storm detected [ID:6829],resource_exhaustion
Connection refused by host [ID:5756],network_error
Data breach alert: sensitive data access [ID:5885],security_alert
API responded with 409 Conflict [ID:5578],api_error
Access denied for user 'test' [ID:7606],authentication_failure
Health probe timed out [ID:5552],service_timeout
GET /api/v1/users returned error 500 [ID:4706],api_error
Port scan detected from 192.168.1.50 [ID:3682],security_alert
Cache eviction storm detected [ID:8989],resource_exhaustion
Relation 'users' does not exist [ID:8253],database_error
Relation 'users' does not exist [ID:1137],database_error
Unable to write to log file [ID:5350],filesystem_error
CPU starvation detected [ID:5340],resource_exhaustion
OPTIONS /api/cors check executed [ID:8269],api_request
Blocked by firewall: inbound connection from blacklisted IP [ID:1918],security_alert
Intrusion attempt detected [ID:5500],security_alert
Operation timed out [ID:1665],service_timeout
